home activity;child/elderly/pet care;child care;5181 walking and carrying child
home activity;child/elderly/pet care;child care;5183 standing holding child
home activity;child/elderly/pet care;child care;5185 child care sitting/kneeling occasional lifting
home activity;child/elderly/pet care;child care;5186 child care standing occasional lifting
home activity;child/elderly/pet care;child care;5188 reclining with baby
home activity;child/elderly/pet care;elderly care;5200 helping with bathing/dressing/moving into and out of bed only activities
home activity;child/elderly/pet care;elderly care;5205 helping with feeding/combing hair
home activity;child/elderly/pet care;pet care;5053 feeding household animals
home activity;child/elderly/pet care;pet care;5195 standing bathing dog
home activity;child/elderly/pet care;pet care;5197  household animal care aside from feeding
home activity;eating;13030 eating sitting alone or with someone
home activity;eating;13035 eating standing alone or with others
home activity;home repair;indoor;5160 standing light effort tasks
home activity;home repair;indoor;6080 caulking chinking log cabin
home activity;home repair;indoor;6110 excavating garage
home activity;home repair;indoor;6120 hanging storm windows
home activity;home repair;indoor;6122 hanging sheet rock inside house
home activity;home repair;indoor;6124 hammering nails
home activity;home repair;indoor;6126 home repair miscellaneous
home activity;home repair;indoor;6130 laying or removing carpet
home activity;home repair;indoor;6140 laying tile or linoleum/repairing appliances
home activity;home repair;indoor;6144 repairing appliances
home activity;home repair;indoor;6165 painting
home activity;home repair;indoor;6167 plumbing
home activity;home repair;indoor;6190 sanding floors with a power sander
home activity;home repair;indoor;6205 sharpening tools
home activity;home repair;outdoor;6010 airplane repair
home activity;home repair;outdoor;6020 automobile body work
home activity;home repair;outdoor;6040 carpentry general workshop
home activity;home repair;outdoor;6100 cleaning gutters
home activity;home repair;outdoor;6150 painting outside home
home activity;home repair;outdoor;6170 putting on and removal of tarp - sailboat
home activity;home repair;outdoor;6180 roofing
home activity;home repair;outdoor;6200 scraping and painting sailboat or powerboat
home activity;home repair;outdoor;6210 spreading dirt with a shovel
home activity;home repair;outdoor;6220 washing and waxing hull of sailboat or airplane
home activity;home repair;outdoor;6225 washing and waxing car
home activity;home repair;outdoor;6230 washing fence painting fence
home activity;household chores;grocery shopping;5060 shopping
home activity;household chores;house cleaning;floors;5010 cleaning sweeping carpet or floors
home activity;household chores;house cleaning;floors;5024 polishing floors using electric polishing machine
home activity;household chores;house cleaning;floors;5131 scrubbing floors on hands and knees scrubbing bathroom bathtub
home activity;household chores;house cleaning;floors;5140 sweeping garage sidewalk or outside of house
home activity;household chores;house cleaning;furniture;5020 cleaning heavy such as car/windows/garage
home activity;household chores;house cleaning;furniture;5032 dusting or polishing furniture
home activity;household chores;house cleaning;miscellaneous;5100 making bed/changing linens
home activity;household chores;house cleaning;miscellaneous;5110 maple syruping/sugar bushing
home activity;household chores;house cleaning;miscellaneous;5148 watering plants
home activity;household chores;house cleaning;miscellaneous;5149 building a fire inside
home activity;household chores;preparing meals/cooking/washing dishes;5035 cleaning up table after meal implied walking (e.g. leaving from eating table to the kitchen)
home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
home activity;household chores;preparing meals/cooking/washing dishes;5044 butchering animals small
home activity;household chores;preparing meals/cooking/washing dishes;5045 butchering animals large
home activity;household chores;preparing meals/cooking/washing dishes;5051 serving food/setting table implied walking and standing
home activity;household chores;washing/ironing/mending clothes;5048 tanning hides
home activity;household chores;washing/ironing/mending clothes;5070 ironing
home activity;household chores;washing/ironing/mending clothes;5080 knitting sewing sitting
home activity;household chores;washing/ironing/mending clothes;5082 sewing with a machine
home activity;household chores;washing/ironing/mending clothes;5090 folding or hanging clothes/put clothes in or out of washer or dryer/packing suitcase limited walking
home activity;household chores;washing/ironing/mending clothes;5092 washing clothes by hand (with or without hanging wash)
home activity;household chores;washing/ironing/mending clothes;5095 putting away /gathering clothes involving walking
home activity;lawn and garden;gardening service;8050 digging spading filling garden compositing
home activity;lawn and garden;gardening service;8055 driving tractor
home activity;lawn and garden;gardening service;8060 gardening with heavy power tools tilling a garden chain saw
home activity;lawn and garden;gardening service;8192 shovelling dirt or mud
home activity;lawn and garden;gardening service;8200 shovelling snow by hand
home activity;lawn and garden;gardening service;8220 walking applying fertilizer or seeding a lawn push applicator
home activity;lawn and garden;gardening service;8230 watering garden
home activity;lawn and garden;gardening service;8245 gardening/picking up fruits vegetables flowers
home activity;lawn and garden;lawn care service;8070 irrigation channels opening and closing ports
home activity;lawn and garden;lawn care service;8080 laying crushed rock
home activity;lawn and garden;lawn care service;8090 laying sod
home activity;lawn and garden;lawn care service;8095 mowing lawn
home activity;lawn and garden;lawn care service;8130 operating snow blower walking
home activity;lawn and garden;lawn care service;8135 planting potting transplanting seedlings or plants
home activity;lawn and garden;lawn care service;8165 raking lawn
home activity;lawn and garden;lawn care service;8180 riding snow blower
home activity;lawn and garden;lawn care service;8230 watering lawn
home activity;lawn and garden;tree and shrub service;8009 carrying loading or stacking wood loading/unloading or carrying lumber light
home activity;lawn and garden;tree and shrub service;8019 chopping wood splitting logs
home activity;lawn and garden;tree and shrub service;8025 clearing light brush thinning garden
home activity;lawn and garden;tree and shrub service;8058 felling trees small-medium size
home activity;lawn and garden;tree and shrub service;8150 planting trees
home activity;lawn and garden;tree and shrub service;8190 sacking grass leaves
home activity;lawn and garden;tree and shrub service;8210 trimming shrubs or trees manual cutter
home activity;lawn and garden;tree and shrub service;8215 trimming shrubs or trees power cutter using leaf blower edge
home activity;leisure;activities for maintenance of a household;miscellaneous;9010 board game/card/chess playing sitting
home activity;leisure;activities for maintenance of a household;miscellaneous;9100 retreat/family reunion activities involving sitting eating relaxing talking with more than one person
home activity;leisure;activities for maintenance of a household;miscellaneous;9101 retreat/family reunion activities playing games with more than one person
home activity;leisure;activities for maintenance of a household;with animals;5190 sitting playing with animals active periods
home activity;leisure;activities for maintenance of a household;with animals;5191 standing playing with animals active periods
home activity;leisure;activities for maintenance of a household;with animals;5192 walking/running playing with animals active periods
home activity;leisure;activities for maintenance of a household;with children;5170 sitting playing with child(ren)
home activity;leisure;activities for maintenance of a household;with children;5171 standing playing with child(ren)
home activity;leisure;activities for maintenance of a household;with children;5175 walking/running playing with child(ren)
home activity;leisure;individual activities;10074 playing musical instruments
home activity;leisure;individual activities;12025 jogging in place
home activity;leisure;individual activities;2064 home exercise
home activity;leisure;individual activities;9075 sitting arts and crafts carving/wood weaving/spinning wool
home activity;leisure;individual activities;9085 standing arts and crafts/sand painting/carving weaving
home activity;miscellaneous;5025 (generic) multiple household tasks all at once including standing/lifting/sitting
home activity;miscellaneous;sitting;11580 office/computer work general
home activity;miscellaneous;sitting;5080 sitting non-desk work (with or without eating at the same time)
home activity;miscellaneous;sitting;7010 sitting/lying and watching television with TV on as the primary activity
home activity;miscellaneous;sitting;9030 sitting desk entertainment/hobby (with or without eating at the same time)
home activity;miscellaneous;sitting;9045 sitting playing traditional video game computer game
home activity;miscellaneous;sitting;9055 sitting/lying talking in person/using a mobile phone/smartphone/tablet or talking on the phone/computer (skype chatting)
home activity;miscellaneous;sitting;9060 sitting/lying reading or without observable/identifiable activities
home activity;miscellaneous;standing;5146 standing packing/unpacking household items occasional lifting
home activity;miscellaneous;standing;9020 standing writing/drawing/painting
home activity;miscellaneous;standing;9050 standing talking in person/on the phone/computer (skype chatting) or using a mobile phone/smartphone/tablet
